type,formalTyping,code,type1,type2
PERATURAN DAERAH KABUPATEN MUSI RAWAS,Peraturan Daerah Kabupaten Musi Rawas,Perkab_Musi_Rawas,RegencyRegulation,Lembaran_Daerah_Kabupaten_Musi_Rawas
PERATURAN DAERAH,Peraturan Daerah,Perda,Legislation,Lembaran_Daerah
PERATURAN DAERAH KABUPATEN BANGGAI,Peraturan Daerah Kabupaten Banggai,Perkab_Banggai,RegencyRegulation,Lembaran_Daerah_Kabupaten_Banggai
PERATURAN LEMBAGA PENJAMIN SIMPANAN,Peraturan Lembaga Penjamin Simpanan Republik Indonesia,Peraturan_LPS,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PARIWISATA REPUBLIK INDONESIA,Peraturan Menteri Pariwisata Republik Indonesia,Permen_Par,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA PADANG,Peraturan Daerah Kota Padang,Perkot_Padang,MunicipalityRegulation,Lembaran_Daerah_Kota_Padang
PERATURAN DAERAH PROVINSI RIAU,Peraturan Daerah Provinsi Riau,Perprov_Riau,ProvincialRegulation,Lembaran_Daerah_Provinsi_Riau
PERATURAN KEPALA BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI,Peraturan Badan Pengkajian Dan Penerapan Teknologi Republik Indonesia,Peraturan_BPPT,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI KALIMANTAN BARAT,Peraturan Daerah Provinsi Kalimantan Barat,Perprov_Kalbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Barat
PERATURAN MENTERI PERTAHANAN,Peraturan Menteri Pertahanan Republik Indonesia,Permen_Han,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II JAYAPURA,Peraturan Daerah Kabupaten Jayapura,Perkab_Jayapura,RegencyRegulation,Lembaran_Daerah_Kabupaten_Jayapura
PERATURAN DAERAH KASUPATEN DAERAH TINGKAT II PATT,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN KEPALA LEMBAGA SANDI NEGARA,Peraturan Badan Siber Dan Sandi Negara Republik Indonesia,Peraturan_BSSN,AgencyRegulation,Berita_Negara
PERATURAN JAKSA AGUNG REPUBLIK INDONESIA,Peraturan Jaksa Agung Republik Indonesia,Peraturan_Jagung,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH KABUPATEN TANGGAMUS,Peraturan Daerah Kabupaten Tanggamus,Perkab_Tanggamus,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tanggamus
PERATURAN DAERAH PROPINSI JAWA TIMUR,Peraturan Daerah Provinsi Jawa Timur,Perprov_Jatim,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Timur
PERATURAN KEPALA LEMBAGA ADMINISTRASI NEGARA,Peraturan Lembaga Administrasi Negara Republik Indonesia,Peraturan_LAN,AgencyRegulation,Berita_Negara
PERATURAN MENTERI KEUANGAN REPUBLIK INDONESIA NOMOR,Peraturan Menteri Keuangan Republik Indonesia,Permen_Keu,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI KEBUDAYAAN DAN PARIWISATA,Peraturan Menteri Kebudayaan Dan Pariwisata Republik Indonesia,Permen_Budpar,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI ENERGI SUMBERDAYA MINERAL REPUBLIK INDONESIA,Peraturan Menteri Energi Dan Sumber Daya Mineral Republik Indonesia,Permen_ESDM,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI SULAWESI BARAT,Peraturan Daerah Provinsi Sulawesi Barat,Perprov_Sulbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sulawesi_Barat
PERATURAN PERINTAH REPUBLIK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN DAERAH KABUPATEN JENEPONTO,Peraturan Daerah Kabupaten Jeneponto,Perkab_Jeneponto,RegencyRegulation,Lembaran_Daerah_Kabupaten_Jeneponto
PERATURAN DAERAH DAERAH KHUSUS IBUKOTA JAKARTA,Peraturan Daerah Provinsi Daerah Khusus Ibukota Jakarta,Perprov_DKI_Jakarta,ProvincialRegulation,Lembaran_Daerah_Provinsi_DKI_Jakarta
PERATURAN DAERAH KOTA PEKALONGAN,Peraturan Daerah Kota Pekalongan,Perkot_Pekalongan,MunicipalityRegulation,Lembaran_Daerah_Kota_Pekalongan
PERATURAN WALIKOTA BOGOR,Peraturan Walikota  Bogor,Perwali_Bogor,MayorRegulation,Berita_Daerah_Kota_Bogor
PERATURAN DAERAH KABUPATEN TRENGGALEK,Peraturan Daerah Kabupaten Trenggalek,Perkab_Trenggalek,RegencyRegulation,Lembaran_Daerah_Kabupaten_Trenggalek
PERATURAN DAERAH PROPINSI KALIMANTAN TENGAH,Peraturan Daerah Provinsi Kalimantan Tengah,Perprov_Kalteng,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Tengah
"PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN REPUBLIK INDONESIA SELAKU KETUA KOMITE KEBIJAKAN PEMBIAYAAN BAGI USAHA MIKRO, KECIL, DAN MENENGAH",Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
